PointID,FIPS,parcelsample_n,RPL_THEMES,RelativeRiskWeightV1,RelativeRiskWeightV2,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng
PID.0943370,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13524005,2008-04-28 19:00:00,2036-02-07 00:28:16,1,628 N VINEYARD,7905.000000000000000,382.359449121000011
PID.0619201,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13530008,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1052 W 5TH PL,7573.000000000000000,344.694575260000022
PID.0844416,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13518001C,2008-04-28 19:00:00,2036-02-07 00:28:16,1,740 W MOUNTAIN VIEW DR,14219.000000000000000,501.599541687999988
PID.0431935,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13520072,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1114 W 10TH ST,8015.000000000000000,369.513685353000028
PID.0730554,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515124,2008-04-28 19:00:00,2036-02-07 00:28:16,2,424 W BROWN RD  241,850.000000000000000,122.250733451000002
PID.0587578,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13519076,2008-04-28 19:00:00,2036-02-07 00:28:16,1,865 W 11TH PL,11668.000000000000000,432.618450571999972
PID.0730552,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515121,2008-04-28 19:00:00,2036-02-07 00:28:16,2,424 W BROWN RD  238,900.000000000000000,125.206251941999994
PID.0514263,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13517034,2008-04-28 19:00:00,2036-02-07 00:28:16,1,861 N REVERE   C,903.000000000000000,120.733800951000006
PID.0980905,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13522009,2008-04-28 19:00:00,2036-02-07 00:28:16,1,955 W 9TH ST,9859.000000000000000,408.128042693999987
PID.0055921,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13561014,2008-04-28 19:00:00,2036-02-07 00:28:16,1,915 W FAIRWAY DR,20527.000000000000000,596.946419656999979
PID.0385166,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13517068,2008-04-28 19:00:00,2036-02-07 00:28:16,1,847 N CHERRY,1643.000000000000000,164.969421401000005
PID.0925951,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13526061,2008-04-28 19:00:00,2036-02-07 00:28:16,1,607 W CAMINO CIR,9359.000000000000000,385.810471604999975
PID.0620257,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13519075,2008-04-28 19:00:00,2036-02-07 00:28:16,1,905 W 11TH PL,11910.000000000000000,436.868315528999972
PID.0435256,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13526020,2008-04-28 19:00:00,2036-02-07 00:28:16,1,743 W 4TH PL,10361.000000000000000,431.857094863999976
PID.0730563,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13524142,2008-04-28 19:00:00,2036-02-07 00:28:16,2,447 W RIO SALADO PKWY  214,823.000000000000000,138.934657718000011
PID.0730559,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13524131,2008-04-28 19:00:00,2036-02-07 00:28:16,2,447 W RIO SALADO PKWY  203,878.000000000000000,139.990710046000004
PID.0456325,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13524028A,2008-04-28 19:00:00,2036-02-07 00:28:16,1,640 N ORANGE,15817.000000000000000,503.531856340999980
PID.0692964,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13523007,2008-04-28 19:00:00,2036-02-07 00:28:16,1,602 N DATE,11707.000000000000000,438.747019233999993
PID.0126437,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13517088,2008-04-28 19:00:00,2036-02-07 00:28:16,1,906 N DATE,1458.000000000000000,155.647252223000010
PID.0966436,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13519080,2008-04-28 19:00:00,2036-02-07 00:28:16,1,823 W 11TH PL,12414.000000000000000,438.305224602000010
PID.0848676,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13521032,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1142 W 9TH ST,9242.000000000000000,414.966650322000021
PID.0036326,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13529005,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1136 W 7TH ST,9965.000000000000000,421.702416212000003
PID.0562016,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13516038,2008-04-28 19:00:00,2036-02-07 00:28:16,1,562 W RIO SALADO PKWY,19597.000000000000000,721.244132711000020
PID.0011641,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515052,2008-04-28 19:00:00,2036-02-07 00:28:16,1,424 W BROWN RD  119,907.000000000000000,125.846868452999999
PID.0023467,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13520040,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1039 W MOUNTAIN VIEW DR,19185.000000000000000,653.161757451999961
PID.0613389,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13530002,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1009 W 6TH ST,7578.000000000000000,349.457045358000016
PID.0152816,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13518019,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1032 N REVERE,5398.000000000000000,299.927480571999979
PID.0486144,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515062,2008-04-28 19:00:00,2036-02-07 00:28:16,1,424 W BROWN RD  129,877.000000000000000,123.502271820000004
PID.0481215,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13522038,2008-04-28 19:00:00,2036-02-07 00:28:16,1,922 W 9TH PL,10350.000000000000000,413.376013826000019
PID.0126438,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13520052A,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1024 W MOUNTAIN VIEW DR,28979.000000000000000,704.628132285999982
PID.0845093,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13529049,2008-04-28 19:00:00,2036-02-07 00:28:16,1,1008 W 6TH ST,6693.000000000000000,331.017529668000009
PID.0510560,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13519072,2008-04-28 19:00:00,2036-02-07 00:28:16,1,924 W 11TH PL,12293.000000000000000,436.458371005999993
PID.0499351,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13521045B,2008-04-28 19:00:00,2007-03-21 19:00:00,1,1149 W 10TH ST,17616.000000000000000,553.075243275000048
PID.0948218,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13524109,2008-04-28 19:00:00,2036-02-07 00:28:16,1,447 W RIO SALADO PKWY  105,869.000000000000000,140.685477464999991
PID.0944840,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515059,2008-04-28 19:00:00,2036-02-07 00:28:16,1,424 W BROWN RD  126,861.000000000000000,122.949870235999995
PID.0987517,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13517242,2008-04-28 19:00:00,2036-02-07 00:28:16,1,932 N CHERRY,2268.000000000000000,197.591014629000000
PID.0730555,04013421102,58.000000000000000,0.825600000000000,0.186680000000000,0.186680000000000,13515128,2008-04-28 19:00:00,2036-02-07 00:28:16,2,424 W BROWN RD  245,869.000000000000000,123.691583813999998
